type,epoch,batch,total_loss,valid_acc,correct,total,batch_time,timestamp,total_training_time
epoch,1,90,3.2699842112179187,0.875,14,16,19.79792308807373,2024-12-10 06:26:50,19.797945261001587
epoch,1,95,2.8514623800778782,0.75,12,16,20.567023277282715,2024-12-10 06:26:51,20.567045211791992
epoch,1,100,2.5594199762827783,0.75,12,16,21.348620176315308,2024-12-10 06:26:52,21.34864115715027
epoch,1,105,1.9075710499727476,0.75,12,16,22.129894256591797,2024-12-10 06:26:53,22.129916191101074
epoch,1,110,1.1117223307633495,0.75,12,16,22.958336114883423,2024-12-10 06:26:53,22.958359003067017
epoch,1,115,2.181085293509696,0.75,12,16,23.740070104599,2024-12-10 06:26:54,23.740092277526855
epoch,1,120,1.5382665450953246,0.6875,11,16,24.509671926498413,2024-12-10 06:26:55,24.509711265563965
epoch,1,125,3.3475786867311155,0.8125,13,16,25.286734104156494,2024-12-10 06:26:56,25.28675627708435
epoch,1,130,3.0896976652401804,0.75,12,16,26.064018964767456,2024-12-10 06:26:57,26.064039945602417
epoch,1,135,1.4646470220331542,0.875,14,16,26.843630075454712,2024-12-10 06:26:57,26.84365224838257
epoch,1,140,1.8498976233236095,0.6875,11,16,27.628913164138794,2024-12-10 06:26:58,27.628934144973755
epoch,1,145,1.7562765957229214,0.8125,13,16,28.4050931930542,2024-12-10 06:26:59,28.40511417388916
epoch,1,150,2.571565252434472,0.75,12,16,29.18069314956665,2024-12-10 06:27:00,29.18071413040161
epoch,1,155,3.178932381225459,0.8125,13,16,30.02030897140503,2024-12-10 06:27:01,30.020331144332886
epoch,1,160,1.1359382482488398,0.75,12,16,30.781641006469727,2024-12-10 06:27:01,30.781662940979004
epoch,1,165,2.4171528139034466,0.8125,13,16,31.576585054397583,2024-12-10 06:27:02,31.576606035232544
epoch,1,170,3.5825221086182495,0.9375,15,16,32.35590410232544,2024-12-10 06:27:03,32.35592603683472
epoch,1,175,1.6401520953135003,0.8125,13,16,33.130712032318115,2024-12-10 06:27:04,33.13073420524597
epoch,1,180,1.4274543115401068,0.8125,13,16,33.9041690826416,2024-12-10 06:27:04,33.90419006347656
epoch,1,185,1.6778127200398563,0.9375,15,16,34.68680810928345,2024-12-10 06:27:05,34.68682909011841
epoch,1,190,1.3819751817435635,0.9375,15,16,35.447893142700195,2024-12-10 06:27:06,35.447917222976685
epoch,1,195,1.3170942974822084,0.875,14,16,36.3084511756897,2024-12-10 06:27:07,36.308489084243774
epoch,1,200,0.7031797069270361,0.8125,13,16,37.090259075164795,2024-12-10 06:27:08,37.090280055999756
epoch,1,205,2.8165047992709504,0.875,14,16,37.87134623527527,2024-12-10 06:27:08,37.87138628959656
epoch,1,210,1.3722754194445645,0.8125,13,16,38.63624405860901,2024-12-10 06:27:09,38.636265993118286
epoch,1,215,0.9752476648223218,0.9375,15,16,39.42844533920288,2024-12-10 06:27:10,39.42846703529358
epoch,1,220,2.3651968923297586,0.9375,15,16,40.20758128166199,2024-12-10 06:27:11,40.207602977752686
epoch,1,225,0.5546312599913272,1.0,16,16,40.99718928337097,2024-12-10 06:27:12,40.99721121788025
epoch,1,230,1.8176914584030024,0.875,14,16,41.76852512359619,2024-12-10 06:27:12,41.76854705810547
epoch,1,235,2.338995183471527,0.8125,13,16,42.54239106178284,2024-12-10 06:27:13,42.54241323471069
epoch,1,240,0.8606887907847,0.9375,15,16,43.38230919837952,2024-12-10 06:27:14,43.382331132888794
epoch,1,245,0.941962137320407,1.0,16,16,44.160484075546265,2024-12-10 06:27:15,44.16050624847412
epoch,1,250,1.442759273850677,0.8125,13,16,44.93439316749573,2024-12-10 06:27:15,44.9344162940979
epoch,1,255,1.7027419783838538,0.9375,15,16,45.701627254486084,2024-12-10 06:27:16,45.70164728164673
epoch,1,260,2.1118401057937723,0.9375,15,16,46.47747206687927,2024-12-10 06:27:17,46.47749209403992
epoch,1,265,0.6724643874803286,0.9375,15,16,47.242783069610596,2024-12-10 06:27:18,47.24280500411987
epoch,1,270,1.4849747492014032,0.75,12,16,48.01890301704407,2024-12-10 06:27:19,48.018925189971924
epoch,1,275,1.2623469951665185,0.9375,15,16,48.79722332954407,2024-12-10 06:27:19,48.79724431037903
epoch,1,280,0.9169792693540686,1.0,16,16,49.563668966293335,2024-12-10 06:27:20,49.56369113922119
epoch,1,285,1.128545701445558,0.9375,15,16,50.36645817756653,2024-12-10 06:27:21,50.366480112075806
